Human_Protein_ID	Virus_Protein_ID	Score	Interaction
Q86UQ0	AAD21386.1	0.039	no
Q96ET8	ACQ44564.1	0.044	no
Q9H628	YP_068147.1	0.067	no
A8MVJ9	YP_001331028.1	0.077	no
Q9H9J4	AFD22116.1	0.061	no
Q5GLZ8	YP_009252300.1	0.083	no
P21554	NP_570279.1	0.035	no
Q5VTT5	AAD21391.1	0.064	no
O14656	AFD21953.1	0.062	no
Q9H4I9	YP_009508494.1	0.076	no
Q5VTT5	NP_570305.1	0.041	no
Q8N2I9	AFV77575.1	0.054	no
Q5GLZ8	NP_040334.1	0.057	no
Q9HCD6	YP_009140486.1	0.072	no
P22455	YP_009703153.1	0.051	no
Q9H1C3	AEO37427.1	0.078	no
Q8NEC7	BAA82946.1	0.069	no
Q4ZG55	YP_001294936.1	0.047	no
P12694	CAP08130.1	0.062	no
O00744	YP_068348.1	0.028	no
O14788	YP_010097697.1	0.042	no
Q9BX97	CAP08099.1	0.091	no
Q8NEE6	CAP08059.1	0.024	no
P00540	YP_004869644.1	0.053	no
Q96L42	YP_010097089.1	0.042	no
Q9NQS7	YP_214155.1	0.074	no
Q9NTZ6	YP_009703209.1	0.123	no
Q5SWA1	YP_009344844.1	0.041	no
Q14CZ7	NP_570804.1	0.035	no
Q9NVC6	AFD22149.1	0.072	no
Q99679	AAD21374.1	0.021	no
Q9BXN1	YP_010086826.1	0.063	no
Q9Y2D4	YP_010113339.1	0.083	no
Q8TC57	CAZ86701.1	0.026	no
Q3ZCQ2	NP_066867.1	0.053	no
P07992	YP_009505472.1	0.047	no
O00358	AFD22107.1	0.074	no
Q9H0E3	YP_010097686.1	0.078	no
Q9P2D3	YP_009703172.1	0.045	no
Q9P2F9	YP_068322.1	0.024	no
P55061	YP_009703208.1	0.058	no
P31152	YP_010771318.1	0.057	no
Q86SP6	YP_214148.1	0.051	no
Q9H3N8	AFD22051.1	0.041	no
Q9Y6I7	YP_004346939.1	0.027	no
Q14330	AEF12616.1	0.042	no
O95972	YP_009130673.1	0.024	no
Q68DK7	NP_570203.1	0.067	no
Q8TD22	AFD21920.1	0.097	no
Q86T24	NP_066875.1	0.058	no
Q9NZU5	AEV55078.1	0.040	no
Q96QA5	AEV55031.1	0.059	no
P17213	YP_068361.1	0.066	no
P62256	NP_570819.1	0.089	no
Q9Y5Y7	YP_004895373.1	0.067	no
Q9Y2D4	ACN89694.1	0.081	no
Q15935	AFD22061.1	0.034	no
Q70EL2	AFD22159.1	0.063	no
P24347	YP_009703192.1	0.049	no
P0C0E4	NP_598366.1	0.044	no
Q16650	YP_010097094.1	0.041	no
O60224	YP_007518095.1	0.078	no
Q8N680	AFD21986.1	0.069	no
P08174	YP_008492981.1	0.027	no
Q9H3N8	YP_004346936.1	0.019	no
O60826	ADI60258.1	0.066	no
Q75N03	AIY35064.1	0.069	no
Q9H7Z6	YP_009219.1	0.071	no
Q9UNT1	YP_067931.1	0.075	no
P46091	YP_010113308.1	0.051	no
P09917	YP_009344909.1	0.059	no
Q9BYP7	YP_214064.1	0.090	no
Q9H2K8	YP_068008.1	0.068	no
Q8WXD0	YP_008492995.1	0.040	no
Q04671	YP_009703054.1	0.056	no
Q5D0E6	YP_068157.1	0.044	no
O95897	YP_009344902.1	0.045	no
Q5D862	YP_007985659.1	0.085	no
Q32M78	CAP08149.1	0.032	no
Q92482	YP_009552784.1	0.051	no
Q8TD17	YP_068149.1	0.024	no
Q8WWX0	CAP08160.1	0.038	no
Q02223	YP_008493005.1	0.043	no
Q8N6M0	YP_214036.1	0.098	no
Q13609	YP_068187.1	0.085	no
Q03112	YP_068344.1	0.061	no
Q5VV16	AEV54972.1	0.059	no
Q9Y5Y7	AFD22155.1	0.074	no
Q9C0D4	YP_009198.1	0.093	no
P08697	YP_004869643.1	0.033	no
Q8N972	YP_003896057.1	0.067	no
Q9NXS3	YP_067922.1	0.046	no
Q9NU02	YP_009109598.1	0.121	no
Q96EN8	YP_010097058.1	0.037	no
P51617	YP_010113377.1	0.032	no
P0C869	YP_005296280.1	0.024	no
Q8NBJ4	AEZ53135.1	0.071	no
G9CGD6	YP_010113376.1	0.084	no
P35858	YP_010097096.1	0.037	no
A6NF36	YP_004013956.1	0.069	no
O60240	YP_006488613.1	0.065	no
Q9C0I1	YP_005296284.1	0.052	no
Q96PJ5	YP_008492958.1	0.045	no
P29460	AAG36979.1	0.046	no
Q5VV16	AFD22074.1	0.069	no
Q969D9	AFD21895.1	0.048	no
Q02833	YP_214121.1	0.047	no
Q7Z2Z2	AAT95216.1	0.091	no
O95843	YP_214023.1	0.090	no
O43711	ACA24942.2	0.042	no
Q5D0E6	YP_068286.1	0.032	no
Q8WWX0	YP_010097080.1	0.050	no
Q6ZTR7	YP_004376205.1	0.069	no
P34969	YP_182336.1	0.047	no
Q6BDS2	YP_010097679.1	0.033	no
P51617	AGF85785.1	0.039	no
Q8NFT6	YP_182350.1	0.047	no
Q9BT76	YP_009252291.1	0.032	no
Q02833	YP_009344832.1	0.038	no
Q52LW3	YP_009344869.1	0.051	no
A5D8V6	YP_005086950.1	0.054	no
Q9C0E2	YP_068151.1	0.103	no
Q99999	AFD22042.1	0.055	no
O60500	CAP08175.1	0.047	no
Q5XPI4	CAP08112.1	0.043	no
Q9GZN7	YP_214154.1	0.035	no
A5D8V6	NP_570805.1	0.065	no
A0AVK6	YP_009505578.1	0.059	no
Q9Y2M5	YP_009227129.1	0.059	no
Q9UQQ1	AFD21977.1	0.057	no
P14151	YP_067980.1	0.055	no
P16150	YP_009140487.1	0.071	no
Q9Y4C4	AFD22089.1	0.053	no
P24855	YP_005296190.1	0.030	no
Q9Y6I7	AFD21960.1	0.045	no
Q9HA77	YP_009344862.1	0.057	no
Q8NBF1	YP_009703090.1	0.019	no
Q8NFT6	YP_068308.1	0.055	no
Q96LU5	YP_009344893.1	0.025	no
Q8TER5	CAP08109.1	0.047	no
Q9UQF0	AAC64685.1	0.055	no
Q5TGY3	CAP08191.1	0.042	no
Q96PJ5	YP_009408611.1	0.042	no
Q5JT82	CAP08194.1	0.043	no
Q7Z2Q7	YP_068213.1	0.039	no
P15428	YP_010097700.1	0.080	no
Q9P2G4	YP_010086823.1	0.077	no
Q96LW4	CAP08085.1	0.062	no
Q9BT76	AER30024.1	0.029	no
Q01459	AP_000365.1	0.045	no
Q9ULI3	YP_214010.1	0.049	no
F8VTS6	AAG36982.1	0.036	no
Q03924	YP_068354.1	0.031	no
Q9H6J7	YP_009513025.1	0.027	no
P48382	ACN89717.1	0.074	no
Q9UM21	YP_182382.1	0.047	no
Q9Y2W3	YP_010097063.1	0.023	no
Q9Y251	CAP08201.1	0.033	no
O95747	YP_009553275.1	0.089	no
Q96NL3	AEV54976.1	0.037	no
P23434	CAP08195.1	0.065	no
Q5JT82	YP_004680224.1	0.023	no
Q9UQ05	YP_068208.1	0.053	no
P22455	AP_000356.1	0.057	no
Q8IW41	YP_182404.1	0.074	no
Q6P6B7	ACU27450.1	0.070	no
Q9NP08	AP_000610.1	0.057	no
Q9NXK8	AID54959.1	0.044	no
Q5SWA1	NP_040833.1	0.045	no
Q99706	YP_009703056.1	0.029	no
Q86XT2	YP_009408613.1	0.065	no
Q5EBN2	YP_068252.1	0.064	no
Q9H706	YP_214156.1	0.068	no
Q9Y5W3	YP_067935.1	0.063	no
Q5D0E6	YP_010097060.1	0.015	no
P01303	YP_009667152.1	0.090	no
Q969D9	YP_010113416.1	0.039	no
O43464	YP_009505553.1	0.081	no
Q12950	YP_009703128.1	0.040	no
P00540	YP_068250.1	0.043	no
Q9Y5X9	YP_008136238.1	0.032	no
Q6P9F5	NP_044207.1	0.046	no
Q6ZMT9	NP_015542.1	0.044	no
Q9NWA0	BAA82919.1	0.069	no
O94769	AEV55015.1	0.031	no
P05089	YP_068152.1	0.076	no
Q86UA1	YP_009046825.1	0.100	no
Q17RM4	YP_010097641.1	0.027	no
Q16647	YP_008492949.1	0.054	no
Q6W5P4	AEV54964.1	0.034	no
P43630	AIB07797.1	0.025	no
Q9UBK7	YP_009505668.1	0.094	no
P11230	YP_009109579.1	0.027	no
Q9UQK1	YP_010113322.1	0.051	no
P02655	YP_009252228.1	0.063	no
P22607	YP_009094439.1	0.074	no
P05089	YP_068376.1	0.117	no
Q9HCC8	YP_005296332.1	0.030	no
Q8TBZ6	YP_007195266.1	0.083	no
Q96DB2	YP_009021238.1	0.129	no
Q8IWL2	CAP08081.1	0.077	no
P55347	CAP08147.1	0.089	no
A4D1S0	AAB59901.1	0.025	no
Q96BD6	YP_009552747.1	0.059	no
P49914	YP_009553260.1	0.057	no
O95466	NP_570180.1	0.087	no
Q9UQQ1	NP_066846.1	0.050	no
Q9Y5X9	YP_009094438.1	0.042	no
Q13564	BAA82910.1	0.074	no
Q86UQ0	YP_009703152.1	0.036	no
Q9Y2R2	AAD21405.1	0.070	no
P78424	NP_047411.1	0.081	no
Q8IXM6	YP_067965.1	0.059	no
O75635	YP_173328.1	0.140	no
Q9UHG0	YP_717901.1	0.107	no
Q8WXH6	YP_214140.1	0.049	no
Q9HCC8	YP_009552103.1	0.053	no
P05093	YP_001033948.1	0.055	no
O14657	YP_009252294.1	0.057	no
O75564	YP_007985636.1	0.053	no
Q6P2P2	CAP08156.1	0.075	no
P0C672	YP_009344840.1	0.037	no
O43711	YP_009130668.1	0.053	no
Q9NU02	YP_214139.1	0.125	no
O94760	CAP08158.1	0.097	no
P23490	YP_009703205.1	0.081	no
P49842	YP_010113267.1	0.055	no
Q14687	YP_214117.1	0.049	no
Q9Y5W3	YP_009344851.1	0.050	no
Q8N680	YP_009344842.1	0.063	no
Q15723	NP_694827.1	0.120	no
Q7RTU1	AFD22139.1	0.041	no
Q49MI3	NP_570289.1	0.061	no
Q9BUV0	YP_001033979.1	0.069	no
Q5VYY1	AIT11904.1	0.036	no
Q6PKX4	ADI60259.1	0.065	no
O75937	AIB07804.1	0.093	no
Q8NEA6	YP_009252299.1	0.040	no
Q8TD17	YP_008520248.1	0.037	no
Q9H1J1	YP_010113359.1	0.089	no
P52198	YP_005296193.1	0.027	no
Q9BYE9	YP_068310.1	0.043	no
P47813	AFD21964.1	0.124	no
P0C869	AEV55003.1	0.039	no
Q9UIL8	AFD21926.1	0.079	no
Q8N8B7	AFD22018.1	0.049	no
O00358	YP_214112.1	0.053	no
Q8IWK6	YP_003587833.1	0.079	no
P10244	YP_010113331.1	0.057	no
Q9NZK5	YP_001034012.1	0.093	no
Q4KMZ8	CAP08209.1	0.057	no
P11912	YP_001033925.1	0.052	no
Q7Z4W1	YP_010097131.1	0.053	no
Q15034	CAP08154.1	0.040	no
P00540	YP_214110.1	0.055	no
A5D8V6	YP_214091.1	0.053	no
P23582	AP_000047.1	0.088	no
Q9C009	YP_009344955.1	0.037	no
Q9P107	NP_570751.1	0.062	no
Q9NPB3	AHM88404.1	0.057	no
P54710	YP_010113347.1	0.089	no
O60566	ACN89731.1	0.062	no
Q8NEP9	YP_010097688.1	0.029	no
A4D1S0	BAA82931.1	0.046	no
P0C869	AID54963.1	0.040	no
Q86UQ0	AIH06861.1	0.039	no
P52198	AEZ53136.1	0.052	no
P13473	YP_214158.1	0.058	no
P20711	YP_068360.1	0.053	no
P05113	YP_009072436.1	0.084	no
Q8NEP9	NP_108674.1	0.034	no
Q9Y2C5	YP_068355.1	0.072	no
Q12951	YP_004857842.1	0.039	no
Q96NM4	YP_009553261.1	0.080	no
Q8NBF1	YP_009252283.1	0.011	no
Q8N9R8	YP_004895380.1	0.075	no
P78333	YP_010113409.1	0.061	no
Q96NL3	YP_010113282.1	0.041	no
Q9H9Z2	CAZ86705.1	0.061	no
Q9NZU5	YP_001285934.1	0.057	no
Q969D9	NP_057935.1	0.056	no
Q6UXV1	YP_009344918.1	0.040	no
P20711	YP_010097649.1	0.057	no
Q96IZ5	NP_040837.1	0.075	no
Q7Z3Q1	YP_008520232.1	0.014	no
O95865	YP_214119.1	0.072	no
Q6UXG3	YP_214168.1	0.035	no
Q9C0D5	AAB86913.1	0.059	no
Q9BYP7	YP_001033928.2	0.118	no
Q13145	CAP08169.1	0.039	no
A8MVJ9	YP_067914.1	0.100	no
Q9Y2W3	AIB07811.1	0.022	no
P07204	AFD22029.1	0.043	no
Q15546	CAP08165.1	0.040	no
P49758	YP_008492987.1	0.079	no
P23582	CAP08208.1	0.059	no
Q7Z3Q1	YP_008888533.1	0.032	no
Q9C0B1	AFD22025.1	0.068	no
Q6IQ49	YP_009344926.1	0.080	no
O15117	YP_182367.1	0.081	no
P01303	YP_009507386.1	0.072	no
Q9C056	YP_001648800.1	0.058	no
O00358	YP_010113356.1	0.059	no
P05089	AIB07789.1	0.060	no
Q9H7N4	YP_068123.1	0.073	no
Q8N743	NP_570800.1	0.026	no
Q969D9	AEV54983.1	0.040	no
O60637	NP_066855.1	0.065	no
Q7Z713	YP_009703206.1	0.048	no
Q9NRR4	NP_056775.1	0.041	no
Q2QD12	YP_010113403.1	0.075	no
Q86TJ2	YP_010097678.1	0.082	no
Q8N119	YP_182342.1	0.045	no
P78540	YP_008520224.1	0.064	no
P08697	AP_000253.1	0.047	no
P0C869	YP_007518076.1	0.041	no
P04746	ACN89765.1	0.057	no
Q5XPI4	BAA82914.1	0.039	no
Q68D85	YP_001033944.1	0.064	no
P07585	YP_009703189.1	0.047	no
Q6UX65	AFD22095.1	0.036	no
Q9NVR0	NP_570233.1	0.103	no
Q6UXG3	AP_000252.1	0.047	no
Q9BUV0	AKA97942.1	0.058	no
Q9H967	YP_009508491.1	0.081	no
Q9HCE3	YP_009252245.1	0.057	no
Q8N6M0	YP_214169.1	0.120	no
Q8TBZ6	ADW08944.1	0.050	no
Q92750	YP_009111407.1	0.095	no
P11912	YP_010097654.1	0.051	no
Q86SH4	CAP08206.1	0.043	no
F8VTS6	YP_009344843.1	0.041	no
Q8WWX0	AFD21930.1	0.061	no
Q9BV36	YP_067925.1	0.093	no
Q02833	NP_758524.1	0.059	no
Q04671	YP_010113369.1	0.075	no
Q9UQV4	CAP08076.1	0.070	no
P42898	YP_005296336.1	0.048	no
Q8IYU8	AFD22093.1	0.081	no
Q96PY5	YP_009344861.1	0.058	no
Q9NV58	YP_003896054.1	0.052	no
Q9ULD8	ACN89746.1	0.048	no
Q9BUV0	YP_068128.1	0.067	no
Q96S21	YP_214108.1	0.054	no
P10645	YP_068388.1	0.059	no
Q99619	AFD22122.1	0.065	no
Q8NBF1	YP_010113333.1	0.031	no
P34969	YP_009703171.1	0.052	no
P47813	YP_010097662.1	0.113	no
Q6UXG3	YP_214162.1	0.035	no
P05093	AP_000355.1	0.066	no
Q9NTZ6	YP_009140479.1	0.153	no
P40126	YP_009126906.1	0.043	no
Q6VB84	YP_009344905.1	0.037	no
Q9C0B1	AAD21390.1	0.051	no
A6NLU0	YP_010113341.1	0.046	no
Q96PF2	YP_068107.1	0.056	no
Q9NXS3	YP_010097076.1	0.033	no
Q96NM4	YP_010097677.1	0.057	no
P60002	CAP08176.1	0.094	no
Q9UL52	CAZ86710.1	0.030	no
O95865	AP_000348.1	0.059	no
A6NLU0	CAP08141.1	0.056	no
P24855	YP_209239.1	0.054	no
Q9HBX9	AAB03092.1	0.050	no
O15015	YP_009703156.1	0.033	no
Q9NWZ5	ABL74443.1	0.078	no
Q6ZWH5	YP_005296348.1	0.063	no
Q9UL58	NP_066913.1	0.028	no
P82094	YP_068173.1	0.104	no
O60566	YP_004013958.1	0.072	no
Q86UQ0	YP_009703154.1	0.057	no
P04054	YP_009667149.1	0.076	no
Q9NWA0	YP_010097126.1	0.087	no
P11230	YP_009021566.1	0.031	no
Q9BXN1	CAP08187.1	0.035	no
Q8N6M0	YP_004869648.1	0.089	no
Q86SG2	YP_214103.1	0.077	no
P21802	AAW02836.1	0.072	no
Q9BPY8	YP_182345.1	0.087	no
Q9P0W8	YP_338075.1	0.073	no
O60826	YP_010113411.1	0.053	no
Q68CJ9	YP_067933.1	0.046	no
P78424	YP_007518091.1	0.077	no
Q7Z3Q1	YP_214107.1	0.022	no
P06858	YP_068101.1	0.057	no
O95936	AFD21943.1	0.067	no
Q92833	NP_108673.1	0.085	no
O94955	CAP08197.1	0.057	no
Q5S007	YP_004857846.1	0.101	no
P08138	YP_007195264.1	0.049	no
Q99679	AFD21996.1	0.031	no
Q96S21	YP_001285935.1	0.049	no
P60002	AEO37428.1	0.069	no
Q15528	YP_010097095.1	0.066	no
Q9ULD8	CAP08177.1	0.063	no
Q96BD6	AAT70774.1	0.051	no
P02655	AEV55069.1	0.116	no
Q96N20	ACQ44562.1	0.061	no
P20800	YP_214069.1	0.046	no
Q9P0U1	YP_068271.1	0.049	no
O75437	YP_001033964.1	0.043	no
P05089	CAZ86714.1	0.087	no
Q9H1C3	AEV54999.1	0.063	no
Q86TJ2	AIY35094.1	0.079	no
O94919	AEV55045.1	0.080	no
Q6PJQ5	YP_010113417.1	0.028	no
Q9Y312	AAT95220.1	0.062	no
Q53SF7	CAP08073.1	0.113	no
P48681	CAP08100.1	0.065	no
Q68CL5	AGA15831.1	0.063	no
Q9Y2W3	AFD22009.1	0.031	no
P14151	YP_004123733.1	0.063	no
Q8WXH4	CAP08107.1	0.057	no
Q9UFW8	YP_010113413.1	0.068	no
O95843	BAA82939.1	0.088	no
P11230	YP_009252286.1	0.039	no
Q9BXW7	YP_009505549.1	0.079	no
Q9Y6C5	YP_008520244.1	0.045	no
Q6W5P4	YP_010113285.1	0.032	no
Q9UID6	YP_005296235.1	0.021	no
Q8WWN9	YP_068209.1	0.077	no
P01303	YP_008439208.1	0.069	no
P04201	YP_008493007.1	0.026	no
P29460	YP_004346914.1	0.059	no
O60637	YP_009010976.1	0.065	no
Q9C0B0	YP_214141.1	0.065	no
Q14585	YP_007518093.1	0.066	no
Q9BXW7	AEP82748.1	0.049	no
Q9Y5X5	AAD21383.1	0.043	no
O43281	YP_004869647.1	0.043	no
Q15653	YP_010097091.1	0.055	no
O00358	NP_044186.1	0.078	no
Q02833	AAC64688.1	0.059	no
Q9BWX1	YP_182386.2	0.039	no
Q7Z7A3	AEF12605.1	0.031	no
Q9BPY8	YP_068359.1	0.093	no
Q5VV16	YP_009703115.1	0.045	no
Q6UX65	YP_004895384.1	0.046	no
P23582	YP_010113300.1	0.063	no
Q96GU1	YP_009140481.1	0.115	no
P43630	YP_009021875.1	0.039	no
Q86XS8	YP_214075.1	0.043	no
P42898	YP_009508866.1	0.045	no
Q5D862	YP_010097082.1	0.070	no
Q9UQN3	YP_010113293.1	0.093	no
Q92482	AFD21879.1	0.067	no
Q6PIZ9	YP_008136237.1	0.101	no
Q13609	AFD21912.1	0.089	no
Q9NVC6	YP_007518457.1	0.078	no
Q12950	YP_004123756.1	0.054	no
Q8N2I9	YP_009109587.1	0.051	no
Q9BW83	NP_043519.1	0.068	no
Q8IW41	NP_066882.1	0.077	no
O14788	AP_000347.1	0.045	no
Q9P2J3	AFD21898.1	0.071	no
Q15697	YP_214040.1	0.091	no
Q9UEW8	YP_009010977.1	0.080	no
Q96H55	YP_067921.1	0.057	no
Q7RTY8	YP_009054992.1	0.029	no
Q7Z4K8	YP_005296369.1	0.029	no
Q5SXM1	AP_000069.1	0.031	no
Q12918	YP_009109588.1	0.042	no
Q8N743	YP_008492956.1	0.028	no
Q9NWA0	CAP08202.1	0.072	no
Q86XT2	NP_047408.1	0.111	no
Q9HAY6	YP_007518456.1	0.053	no
P43626	YP_068238.1	0.023	no
Q4KMZ8	YP_007518085.1	0.056	no
Q8N9A8	YP_164632.1	0.108	no
Q2Q1W2	YP_010113278.1	0.067	no
Q68D85	CAP08075.1	0.060	no
Q9UQ53	NP_570797.1	0.041	no
A0A0K0K1A5	YP_009243644.1	0.065	no
P52823	YP_067928.1	0.050	no
Q9UM82	YP_006331070.1	0.025	no
Q86UQ0	YP_001033952.1	0.048	no
Q6PKX4	AFD22057.1	0.063	no
Q5VTT5	YP_009553629.1	0.060	no
Q4ZG55	BAA82916.1	0.047	no
Q7RTS1	YP_001331030.1	0.039	no
Q8WXI2	YP_007985658.1	0.083	no
Q9NQC8	YP_009252264.1	0.038	no
O14602	YP_009505667.1	0.104	no
Q7Z713	AFD21992.1	0.061	no
P01270	AEV54995.1	0.089	no
P55061	NP_066850.1	0.043	no
Q9NZU5	YP_010086825.1	0.067	no
Q3SY17	AEV55053.1	0.031	no
Q86T24	YP_009505471.1	0.085	no
Q5VTE6	YP_214128.1	0.040	no
Q92482	NP_758523.1	0.065	no
P29460	YP_009054990.1	0.051	no
Q8IW41	NP_570286.1	0.082	no
Q6BDS2	AIY35079.1	0.055	no
Q9BUG6	YP_214102.1	0.049	no
O95897	YP_009046824.1	0.050	no
O14788	YP_004346912.1	0.054	no
Q68CZ1	AP_000632.1	0.063	no
Q6VB84	AEF12615.1	0.045	no
Q9HBX9	CAP08145.1	0.034	no
Q9C0H5	YP_214063.1	0.069	no
Q6W5P4	YP_214122.1	0.022	no
Q9NXK8	YP_009824981.1	0.039	no
Q9BPY8	YP_007518088.1	0.089	no
P20749	YP_006331068.1	0.043	no
Q5D862	AFD21889.1	0.065	no
Q8N6M5	NP_570788.1	0.083	no
Q9UBK7	YP_005296209.1	0.071	no
P24347	YP_009825004.1	0.067	no
P21810	YP_214043.1	0.045	no
Q92805	AAT70778.1	0.106	no
P61587	YP_068095.1	0.057	no
Q9UK97	YP_005296300.1	0.035	no
O43613	NP_015544.1	0.023	no
Q9UIF8	YP_005296372.1	0.057	no
O95751	AAD21337.1	0.065	no
Q4L235	YP_010097702.1	0.071	no
P0C0E4	YP_009505800.1	0.048	no
O00358	YP_003896051.1	0.069	no
P07585	YP_009551572.1	0.045	no
O75679	YP_009703167.1	0.045	no
Q68CQ7	CAP08140.1	0.075	no
Q9UID6	YP_010113297.1	0.033	no
P01270	AFV77577.1	0.055	no
Q86SP6	YP_001033972.1	0.039	no
Q15935	YP_068248.1	0.019	no
O76087	YP_010097672.1	0.068	no
Q96C55	YP_002905326.1	0.051	no
P58499	CAP08046.1	0.077	no
Q9C0F0	YP_214072.1	0.051	no
O75771	AFD22126.1	0.126	no
P20800	YP_009825000.1	0.051	no
Q7Z7M1	CAP08185.1	0.029	no
Q14314	YP_005086951.1	0.065	no
Q9H6U6	YP_010113262.1	0.041	no
Q5JUW0	YP_068368.1	0.051	no
Q86UQ0	AAD21386.1	0.039	no
Q96ET8	ACQ44564.1	0.044	no
Q9H628	YP_068147.1	0.067	no
A8MVJ9	YP_001331028.1	0.077	no
Q9H9J4	AFD22116.1	0.061	no
Q5GLZ8	YP_009252300.1	0.083	no
P21554	NP_570279.1	0.035	no
Q5VTT5	AAD21391.1	0.063	no
O14656	AFD21953.1	0.062	no
Q9H4I9	YP_009508494.1	0.076	no
Q5VTT5	NP_570305.1	0.041	no
Q8N2I9	AFV77575.1	0.054	no
Q5GLZ8	NP_040334.1	0.057	no
Q9HCD6	YP_009140486.1	0.072	no
P22455	YP_009703153.1	0.051	no
Q9H1C3	AEO37427.1	0.078	no
Q8NEC7	BAA82946.1	0.069	no
Q4ZG55	YP_001294936.1	0.047	no
P12694	CAP08130.1	0.062	no
O00744	YP_068348.1	0.028	no
O14788	YP_010097697.1	0.042	no
Q9BX97	CAP08099.1	0.091	no
Q8NEE6	CAP08059.1	0.024	no
P00540	YP_004869644.1	0.052	no
Q96L42	YP_010097089.1	0.042	no
Q9NQS7	YP_214155.1	0.074	no
Q9NTZ6	YP_009703209.1	0.123	no
Q5SWA1	YP_009344844.1	0.041	no
Q14CZ7	NP_570804.1	0.035	no
Q9NVC6	AFD22149.1	0.072	no
Q99679	AAD21374.1	0.021	no
Q9BXN1	YP_010086826.1	0.063	no
Q9Y2D4	YP_010113339.1	0.083	no
Q8TC57	CAZ86701.1	0.026	no
Q3ZCQ2	NP_066867.1	0.053	no
P07992	YP_009505472.1	0.047	no
O00358	AFD22107.1	0.074	no
Q9H0E3	YP_010097686.1	0.077	no
Q9P2D3	YP_009703172.1	0.045	no
Q9P2F9	YP_068322.1	0.024	no
P55061	YP_009703208.1	0.058	no
P31152	YP_010771318.1	0.057	no
Q86SP6	YP_214148.1	0.051	no
Q9H3N8	AFD22051.1	0.041	no
Q9Y6I7	YP_004346939.1	0.027	no
Q14330	AEF12616.1	0.042	no
O95972	YP_009130673.1	0.024	no
Q68DK7	NP_570203.1	0.067	no
Q8TD22	AFD21920.1	0.097	no
Q86T24	NP_066875.1	0.058	no
Q9NZU5	AEV55078.1	0.040	no
Q96QA5	AEV55031.1	0.059	no
P17213	YP_068361.1	0.066	no
P62256	NP_570819.1	0.089	no
Q9Y5Y7	YP_004895373.1	0.067	no
Q9Y2D4	ACN89694.1	0.081	no
Q15935	AFD22061.1	0.034	no
Q70EL2	AFD22159.1	0.063	no
P24347	YP_009703192.1	0.049	no
P0C0E4	NP_598366.1	0.044	no
Q16650	YP_010097094.1	0.041	no
O60224	YP_007518095.1	0.078	no
Q8N680	AFD21986.1	0.069	no
P08174	YP_008492981.1	0.027	no
Q9H3N8	YP_004346936.1	0.019	no
O60826	ADI60258.1	0.066	no
Q75N03	AIY35064.1	0.069	no
Q9H7Z6	YP_009219.1	0.071	no
Q9UNT1	YP_067931.1	0.075	no
P46091	YP_010113308.1	0.051	no
P09917	YP_009344909.1	0.059	no
Q9BYP7	YP_214064.1	0.090	no
Q9H2K8	YP_068008.1	0.068	no
Q8WXD0	YP_008492995.1	0.040	no
Q04671	YP_009703054.1	0.056	no
Q5D0E6	YP_068157.1	0.044	no
O95897	YP_009344902.1	0.045	no
Q5D862	YP_007985659.1	0.085	no
Q32M78	CAP08149.1	0.032	no
Q92482	YP_009552784.1	0.051	no
Q8TD17	YP_068149.1	0.024	no
Q8WWX0	CAP08160.1	0.038	no
Q02223	YP_008493005.1	0.043	no
Q8N6M0	YP_214036.1	0.098	no
Q13609	YP_068187.1	0.085	no
Q03112	YP_068344.1	0.061	no
Q5VV16	AEV54972.1	0.059	no
Q9Y5Y7	AFD22155.1	0.074	no
Q9C0D4	YP_009198.1	0.093	no
P08697	YP_004869643.1	0.033	no
Q8N972	YP_003896057.1	0.067	no
Q9NXS3	YP_067922.1	0.046	no
Q9NU02	YP_009109598.1	0.121	no
Q96EN8	YP_010097058.1	0.037	no
P51617	YP_010113377.1	0.032	no
P0C869	YP_005296280.1	0.024	no
Q8NBJ4	AEZ53135.1	0.071	no
G9CGD6	YP_010113376.1	0.084	no
P35858	YP_010097096.1	0.037	no
A6NF36	YP_004013956.1	0.069	no
O60240	YP_006488613.1	0.065	no
Q9C0I1	YP_005296284.1	0.052	no
Q96PJ5	YP_008492958.1	0.045	no
P29460	AAG36979.1	0.046	no
Q5VV16	AFD22074.1	0.069	no
Q969D9	AFD21895.1	0.048	no
Q02833	YP_214121.1	0.047	no
Q7Z2Z2	AAT95216.1	0.091	no
O95843	YP_214023.1	0.090	no
O43711	ACA24942.2	0.042	no
Q5D0E6	YP_068286.1	0.032	no
Q8WWX0	YP_010097080.1	0.050	no
Q6ZTR7	YP_004376205.1	0.069	no
P34969	YP_182336.1	0.047	no
Q6BDS2	YP_010097679.1	0.033	no
P51617	AGF85785.1	0.039	no
Q8NFT6	YP_182350.1	0.047	no
Q9BT76	YP_009252291.1	0.032	no
Q02833	YP_009344832.1	0.038	no
Q52LW3	YP_009344869.1	0.051	no
A5D8V6	YP_005086950.1	0.054	no
Q9C0E2	YP_068151.1	0.103	no
Q99999	AFD22042.1	0.055	no
O60500	CAP08175.1	0.047	no
Q5XPI4	CAP08112.1	0.043	no
Q9GZN7	YP_214154.1	0.035	no
A5D8V6	NP_570805.1	0.065	no
A0AVK6	YP_009505578.1	0.059	no
Q9Y2M5	YP_009227129.1	0.059	no
Q9UQQ1	AFD21977.1	0.057	no
P14151	YP_067980.1	0.055	no
